$version=2
**** Load  :         1         Sgmnt:    1
2030   1241.86231.26255.42180.74154.22153.62150.13162.82202.83204.06 227.2208.77
2030   2358.66356.01365.09378.69402.38 403.8401.78414.85391.16388.69   355335.34
2030   3421.88435.13412.29473.37 486.5495.98511.88475.73449.11440.05 440.2426.68
**** Load  :         9         Sgmnt:    1
YEAR BLK     1     2     3     4     5     6     7     8     9    10    11    12
2025   1 93.68 89.57 98.92    70 59.73  59.5 58.15 63.06 78.56 79.03    88 80.86
2025   2138.92137.89 141.4146.67155.84 156.4155.61160.68 151.5150.54 137.5129.88
2025   3 163.4168.54159.68183.33188.42 192.1198.25184.26173.94170.43 170.5165.26
2026   1 93.68 89.57 98.92    70 59.73  59.5 58.15 63.06 78.56 79.03    88 80.86
2026   2138.92137.89 141.4146.67155.84 156.4155.61160.68 151.5150.54 137.5129.88
2026   3 163.4168.54159.68183.33188.42 192.1198.25184.26173.94170.43 170.5165.26
2027   1 97.42 93.15102.88  72.8 62.13 61.88 60.47 65.58 81.71 82.19 91.51 84.09
2027   2144.46143.39147.05152.53162.09162.65161.84 167.1157.58156.56142.99135.06
2027   3169.92175.26166.06190.67195.98199.77206.19191.62180.92177.25 177.3171.85
2028   1101.32 96.88106.99 75.71 64.61 64.36 62.89 68.21 84.97 85.47 95.18 87.46
2028   2150.25149.14152.92158.62168.57169.17 168.3173.79163.88162.81148.72140.49
2028   3176.73182.28172.69198.28203.82207.78214.42 199.3188.15184.32184.41178.75
2029   1105.36100.75111.27 78.73 67.18 66.92  65.4 70.93 88.36 88.89 98.98 90.95
2029   2156.25155.09159.04164.96175.29175.91175.02180.72 170.4169.32154.65146.08
2029   3183.79189.56 179.6 206.2211.93216.07222.98207.25195.64191.69191.77185.87
2030   1 109.6104.79115.72 81.88 69.87 69.61 68.02 73.78 91.89 92.45102.96  94.6
2030   2162.53161.33 165.4171.56182.31182.97182.05187.97177.23176.09160.87151.95
2030   3191.17197.18186.78214.45220.42224.73231.93215.55203.48199.36199.48193.34
**** Load  :        34         Sgmnt:    1
YEAR BLK     1     2     3     4     5     6     7     8     9    10    11    12
2025   13166.1  66727803.38122.57504.47169.26236.5  81085458.42031.31719.84916.6
2025   27042.4 11735 14734 12521 11944 102499221.2 11273 112505208.34520.7 13155
2025   38084.9 13521 16698 15568 15216 12127 11257 12668 140046270.45552.6 16631
2026   13166.1  66727803.38122.57504.47169.26236.5  81085458.42031.31719.84916.6
2026   27042.4 11735 14734 12521 11944 102499221.2 11273 112505208.34520.7 13155
2026   38084.9 13521 16698 15568 15216 12127 11257 12668 140046270.45552.6 16631
2027   13166.1  66727803.38122.57504.47169.26236.5  81085458.42031.31719.84916.6
2027   27042.4 11735 14734 12521 11944 102499221.2 11273 112505208.34520.7 13155
2027   38084.9 13521 16698 15568 15216 12127 11257 12668 140046270.45552.6 16631
2028   13166.1  66727803.38122.57504.47169.26236.5  81085458.42031.31719.84916.6
2028   27042.4 11735 14734 12521 11944 102499221.2 11273 112505208.34520.7 13155
2028   38084.9 13521 16698 15568 15216 12127 11257 12668 140046270.45552.6 16631
2029   13166.1  66727803.38122.57504.47169.26236.5  81085458.42031.31719.84916.6
2029   27042.4 11735 14734 12521 11944 102499221.2 11273 112505208.34520.7 13155
2029   38084.9 13521 16698 15568 15216 12127 11257 12668 140046270.45552.6 16631
2030   13166.1  66727803.38122.57504.47169.26236.5  81085458.42031.31719.84916.6
2030   27042.4 11735 14734 12521 11944 102499221.2 11273 112505208.34520.7 13155
2030   38084.9 13521 16698 15568 15216 12127 11257 12668 140046270.45552.6 16631
**** Load  :        56         Sgmnt:    1
YEAR BLK     1     2     3     4     5     6     7     8     9    10    11    12
2025   1     0     0     0     0     0     0     0     0 25.46 22.23     0 21.22
2025   2     0     0     0     0     0     0     0     0 53.34 57.99     0 56.78
2025   3     0     0     0     0     0     0     0     0 66.68 70.11     0 72.33
2026   1     0     0     0     0     0     0     0     0 25.46 22.23     0 21.22
2026   2     0     0     0     0     0     0     0     0 53.34 57.99     0 56.78
2026   3     0     0     0     0     0     0     0     0 66.68 70.11     0 72.33
2027   1     0     0     0     0     0     0     0     0 25.46 22.23     0 21.22
2027   2     0     0     0     0     0     0     0     0 53.34 57.99     0 56.78
2027   3     0     0     0     0     0     0     0     0 66.68 70.11     0 72.33
2028   1     0     0     0     0     0     0     0     0 25.46 22.23     0 21.22
2028   2     0     0     0     0     0     0     0     0 53.34 57.99     0 56.78
2028   3     0     0     0     0     0     0     0     0 66.68 70.11     0 72.33
